date,steps,source,is_final,updated_at
2026-09-01,7234,device,true,2026-09-02T00:15:00+09:00
2026-09-02,8100,device,true,2026-09-03T00:12:00+09:00
2026-09-03,3200,device,true,2026-09-04T00:10:00+09:00
2026-09-04,0,device,true,2026-09-05T00:11:00+09:00
2026-09-05,6500,manual,true,2026-09-05T09:00:00+09:00
2026-09-06,11200,device,true,2026-09-07T00:08:00+09:00
2026-09-07,4800,device,true,2026-09-08T00:09:00+09:00
2026-09-08,7600,device,true,2026-09-09T00:10:00+09:00
2026-09-09,5900,device,true,2026-09-10T00:11:00+09:00
2026-09-10,4200,device,true,2026-09-11T00:12:00+09:00
2026-09-15,8800,device,true,2026-09-16T00:08:00+09:00
2026-09-16,7100,device,true,2026-09-17T00:09:00+09:00
2026-09-17,3500,device,true,2026-09-18T00:10:00+09:00
2026-09-18,9200,device,true,2026-09-19T00:11:00+09:00
2026-09-19,4100,device,false,2026-09-19T12:00:00+09:00
2026-09-19,6800,manual,true,2026-09-19T18:30:00+09:00
2026-09-20,3000,device,false,2026-09-20T12:00:00+09:00
